name	candidate	shard	kind	n_chains	chain_ids	chain_length	ova_ranges	module_ranges	architecture	seeds	expected_samples	description	source_input_json	input_json
ova_c4_iptm80_20a_c1	OVA-C4-IPTM80-20A	0	final20_stoichiometry	1	A	386	1-386	0-0	pure OVA homooligomer competition	3	15	OVA-C4-IPTM80-20A forced C1; no templates; matched OVA MSA	experiments/e126_c4_iptm80_continue_af3_seed1/in_s6/ova_body_c4_103.json	experiments/e149_final20_stoichiometry_v1/in_s0/ova_c4_iptm80_20a_c1.json
ova_c4_iptm80_20a_c2	OVA-C4-IPTM80-20A	1	final20_stoichiometry	2	AB	386,386	1-386;1-386	0-0;0-0	pure OVA homooligomer competition	3	15	OVA-C4-IPTM80-20A forced C2; no templates; matched OVA MSA	experiments/e126_c4_iptm80_continue_af3_seed1/in_s6/ova_body_c4_103.json	experiments/e149_final20_stoichiometry_v1/in_s1/ova_c4_iptm80_20a_c2.json
ova_c4_iptm80_20a_c3	OVA-C4-IPTM80-20A	2	final20_stoichiometry	3	ABC	386,386,386	1-386;1-386;1-386	0-0;0-0;0-0	pure OVA homooligomer competition	3	15	OVA-C4-IPTM80-20A forced C3; no templates; matched OVA MSA	experiments/e126_c4_iptm80_continue_af3_seed1/in_s6/ova_body_c4_103.json	experiments/e149_final20_stoichiometry_v1/in_s2/ova_c4_iptm80_20a_c3.json
ova_c4_iptm80_20a_c5	OVA-C4-IPTM80-20A	3	final20_stoichiometry	5	ABCDE	386,386,386,386,386	1-386;1-386;1-386;1-386;1-386	0-0;0-0;0-0;0-0;0-0	pure OVA homooligomer competition	3	15	OVA-C4-IPTM80-20A forced C5; no templates; matched OVA MSA	experiments/e126_c4_iptm80_continue_af3_seed1/in_s6/ova_body_c4_103.json	experiments/e149_final20_stoichiometry_v1/in_s3/ova_c4_iptm80_20a_c5.json
ova_c4_iptm80_20a_c6	OVA-C4-IPTM80-20A	4	final20_stoichiometry	6	ABCDEF	386,386,386,386,386,386	1-386;1-386;1-386;1-386;1-386;1-386	0-0;0-0;0-0;0-0;0-0;0-0	pure OVA homooligomer competition	3	15	OVA-C4-IPTM80-20A forced C6; no templates; matched OVA MSA	experiments/e126_c4_iptm80_continue_af3_seed1/in_s6/ova_body_c4_103.json	experiments/e149_final20_stoichiometry_v1/in_s4/ova_c4_iptm80_20a_c6.json
ova_c4_iptm80_21b_c1	OVA-C4-IPTM80-21B	5	final20_stoichiometry	1	A	386	1-386	0-0	pure OVA homooligomer competition	3	15	OVA-C4-IPTM80-21B forced C1; no templates; matched OVA MSA	experiments/e126_c4_iptm80_continue_af3_seed1/in_s6/ova_body_c4_47.json	experiments/e149_final20_stoichiometry_v1/in_s5/ova_c4_iptm80_21b_c1.json
ova_c4_iptm80_21b_c2	OVA-C4-IPTM80-21B	6	final20_stoichiometry	2	AB	386,386	1-386;1-386	0-0;0-0	pure OVA homooligomer competition	3	15	OVA-C4-IPTM80-21B forced C2; no templates; matched OVA MSA	experiments/e126_c4_iptm80_continue_af3_seed1/in_s6/ova_body_c4_47.json	experiments/e149_final20_stoichiometry_v1/in_s6/ova_c4_iptm80_21b_c2.json
ova_c4_iptm80_21b_c3	OVA-C4-IPTM80-21B	7	final20_stoichiometry	3	ABC	386,386,386	1-386;1-386;1-386	0-0;0-0;0-0	pure OVA homooligomer competition	3	15	OVA-C4-IPTM80-21B forced C3; no templates; matched OVA MSA	experiments/e126_c4_iptm80_continue_af3_seed1/in_s6/ova_body_c4_47.json	experiments/e149_final20_stoichiometry_v1/in_s7/ova_c4_iptm80_21b_c3.json
ova_c4_iptm80_21b_c5	OVA-C4-IPTM80-21B	0	final20_stoichiometry	5	ABCDE	386,386,386,386,386	1-386;1-386;1-386;1-386;1-386	0-0;0-0;0-0;0-0;0-0	pure OVA homooligomer competition	3	15	OVA-C4-IPTM80-21B forced C5; no templates; matched OVA MSA	experiments/e126_c4_iptm80_continue_af3_seed1/in_s6/ova_body_c4_47.json	experiments/e149_final20_stoichiometry_v1/in_s0/ova_c4_iptm80_21b_c5.json
ova_c4_iptm80_21b_c6	OVA-C4-IPTM80-21B	5	final20_stoichiometry	6	ABCDEF	386,386,386,386,386,386	1-386;1-386;1-386;1-386;1-386;1-386	0-0;0-0;0-0;0-0;0-0;0-0	pure OVA homooligomer competition	3	15	OVA-C4-IPTM80-21B forced C6; no templates; matched OVA MSA	experiments/e126_c4_iptm80_continue_af3_seed1/in_s6/ova_body_c4_47.json	experiments/e149_final20_stoichiometry_v1/in_s5/ova_c4_iptm80_21b_c6.json
ova_c4_iptm80_21c_c1	OVA-C4-IPTM80-21C	1	final20_stoichiometry	1	A	386	1-386	0-0	pure OVA homooligomer competition	3	15	OVA-C4-IPTM80-21C forced C1; no templates; matched OVA MSA	experiments/e126_c4_iptm80_continue_af3_seed1/in_s6/ova_body_c4_23.json	experiments/e149_final20_stoichiometry_v1/in_s1/ova_c4_iptm80_21c_c1.json
ova_c4_iptm80_21c_c2	OVA-C4-IPTM80-21C	6	final20_stoichiometry	2	AB	386,386	1-386;1-386	0-0;0-0	pure OVA homooligomer competition	3	15	OVA-C4-IPTM80-21C forced C2; no templates; matched OVA MSA	experiments/e126_c4_iptm80_continue_af3_seed1/in_s6/ova_body_c4_23.json	experiments/e149_final20_stoichiometry_v1/in_s6/ova_c4_iptm80_21c_c2.json
ova_c4_iptm80_21c_c3	OVA-C4-IPTM80-21C	1	final20_stoichiometry	3	ABC	386,386,386	1-386;1-386;1-386	0-0;0-0;0-0	pure OVA homooligomer competition	3	15	OVA-C4-IPTM80-21C forced C3; no templates; matched OVA MSA	experiments/e126_c4_iptm80_continue_af3_seed1/in_s6/ova_body_c4_23.json	experiments/e149_final20_stoichiometry_v1/in_s1/ova_c4_iptm80_21c_c3.json
ova_c4_iptm80_21c_c5	OVA-C4-IPTM80-21C	6	final20_stoichiometry	5	ABCDE	386,386,386,386,386	1-386;1-386;1-386;1-386;1-386	0-0;0-0;0-0;0-0;0-0	pure OVA homooligomer competition	3	15	OVA-C4-IPTM80-21C forced C5; no templates; matched OVA MSA	experiments/e126_c4_iptm80_continue_af3_seed1/in_s6/ova_body_c4_23.json	experiments/e149_final20_stoichiometry_v1/in_s6/ova_c4_iptm80_21c_c5.json
ova_c4_iptm80_21c_c6	OVA-C4-IPTM80-21C	2	final20_stoichiometry	6	ABCDEF	386,386,386,386,386,386	1-386;1-386;1-386;1-386;1-386;1-386	0-0;0-0;0-0;0-0;0-0;0-0	pure OVA homooligomer competition	3	15	OVA-C4-IPTM80-21C forced C6; no templates; matched OVA MSA	experiments/e126_c4_iptm80_continue_af3_seed1/in_s6/ova_body_c4_23.json	experiments/e149_final20_stoichiometry_v1/in_s2/ova_c4_iptm80_21c_c6.json
ova_c4_iptm80_20d_c1	OVA-C4-IPTM80-20D	7	final20_stoichiometry	1	A	386	1-386	0-0	pure OVA homooligomer competition	3	15	OVA-C4-IPTM80-20D forced C1; no templates; matched OVA MSA	experiments/e126_c4_iptm80_continue_af3_seed1/in_s1/ova_body_c4_02.json	experiments/e149_final20_stoichiometry_v1/in_s7/ova_c4_iptm80_20d_c1.json
ova_c4_iptm80_20d_c2	OVA-C4-IPTM80-20D	7	final20_stoichiometry	2	AB	386,386	1-386;1-386	0-0;0-0	pure OVA homooligomer competition	3	15	OVA-C4-IPTM80-20D forced C2; no templates; matched OVA MSA	experiments/e126_c4_iptm80_continue_af3_seed1/in_s1/ova_body_c4_02.json	experiments/e149_final20_stoichiometry_v1/in_s7/ova_c4_iptm80_20d_c2.json
ova_c4_iptm80_20d_c3	OVA-C4-IPTM80-20D	1	final20_stoichiometry	3	ABC	386,386,386	1-386;1-386;1-386	0-0;0-0;0-0	pure OVA homooligomer competition	3	15	OVA-C4-IPTM80-20D forced C3; no templates; matched OVA MSA	experiments/e126_c4_iptm80_continue_af3_seed1/in_s1/ova_body_c4_02.json	experiments/e149_final20_stoichiometry_v1/in_s1/ova_c4_iptm80_20d_c3.json
ova_c4_iptm80_20d_c5	OVA-C4-IPTM80-20D	7	final20_stoichiometry	5	ABCDE	386,386,386,386,386	1-386;1-386;1-386;1-386;1-386	0-0;0-0;0-0;0-0;0-0	pure OVA homooligomer competition	3	15	OVA-C4-IPTM80-20D forced C5; no templates; matched OVA MSA	experiments/e126_c4_iptm80_continue_af3_seed1/in_s1/ova_body_c4_02.json	experiments/e149_final20_stoichiometry_v1/in_s7/ova_c4_iptm80_20d_c5.json
ova_c4_iptm80_20d_c6	OVA-C4-IPTM80-20D	1	final20_stoichiometry	6	ABCDEF	386,386,386,386,386,386	1-386;1-386;1-386;1-386;1-386;1-386	0-0;0-0;0-0;0-0;0-0;0-0	pure OVA homooligomer competition	3	15	OVA-C4-IPTM80-20D forced C6; no templates; matched OVA MSA	experiments/e126_c4_iptm80_continue_af3_seed1/in_s1/ova_body_c4_02.json	experiments/e149_final20_stoichiometry_v1/in_s1/ova_c4_iptm80_20d_c6.json
ova_c4_iptm80_21e_c1	OVA-C4-IPTM80-21E	3	final20_stoichiometry	1	A	386	1-386	0-0	pure OVA homooligomer competition	3	15	OVA-C4-IPTM80-21E forced C1; no templates; matched OVA MSA	experiments/e126_c4_iptm80_continue_af3_seed1/in_s2/ova_body_c4_43.json	experiments/e149_final20_stoichiometry_v1/in_s3/ova_c4_iptm80_21e_c1.json
ova_c4_iptm80_21e_c2	OVA-C4-IPTM80-21E	0	final20_stoichiometry	2	AB	386,386	1-386;1-386	0-0;0-0	pure OVA homooligomer competition	3	15	OVA-C4-IPTM80-21E forced C2; no templates; matched OVA MSA	experiments/e126_c4_iptm80_continue_af3_seed1/in_s2/ova_body_c4_43.json	experiments/e149_final20_stoichiometry_v1/in_s0/ova_c4_iptm80_21e_c2.json
ova_c4_iptm80_21e_c3	OVA-C4-IPTM80-21E	3	final20_stoichiometry	3	ABC	386,386,386	1-386;1-386;1-386	0-0;0-0;0-0	pure OVA homooligomer competition	3	15	OVA-C4-IPTM80-21E forced C3; no templates; matched OVA MSA	experiments/e126_c4_iptm80_continue_af3_seed1/in_s2/ova_body_c4_43.json	experiments/e149_final20_stoichiometry_v1/in_s3/ova_c4_iptm80_21e_c3.json
ova_c4_iptm80_21e_c5	OVA-C4-IPTM80-21E	0	final20_stoichiometry	5	ABCDE	386,386,386,386,386	1-386;1-386;1-386;1-386;1-386	0-0;0-0;0-0;0-0;0-0	pure OVA homooligomer competition	3	15	OVA-C4-IPTM80-21E forced C5; no templates; matched OVA MSA	experiments/e126_c4_iptm80_continue_af3_seed1/in_s2/ova_body_c4_43.json	experiments/e149_final20_stoichiometry_v1/in_s0/ova_c4_iptm80_21e_c5.json
ova_c4_iptm80_21e_c6	OVA-C4-IPTM80-21E	6	final20_stoichiometry	6	ABCDEF	386,386,386,386,386,386	1-386;1-386;1-386;1-386;1-386;1-386	0-0;0-0;0-0;0-0;0-0;0-0	pure OVA homooligomer competition	3	15	OVA-C4-IPTM80-21E forced C6; no templates; matched OVA MSA	experiments/e126_c4_iptm80_continue_af3_seed1/in_s2/ova_body_c4_43.json	experiments/e149_final20_stoichiometry_v1/in_s6/ova_c4_iptm80_21e_c6.json
ova_c4_iptm80_19f_c1	OVA-C4-IPTM80-19F	3	final20_stoichiometry	1	A	386	1-386	0-0	pure OVA homooligomer competition	3	15	OVA-C4-IPTM80-19F forced C1; no templates; matched OVA MSA	experiments/e126_c4_iptm80_continue_af3_seed1/in_s7/ova_body_c4_48.json	experiments/e149_final20_stoichiometry_v1/in_s3/ova_c4_iptm80_19f_c1.json
ova_c4_iptm80_19f_c2	OVA-C4-IPTM80-19F	3	final20_stoichiometry	2	AB	386,386	1-386;1-386	0-0;0-0	pure OVA homooligomer competition	3	15	OVA-C4-IPTM80-19F forced C2; no templates; matched OVA MSA	experiments/e126_c4_iptm80_continue_af3_seed1/in_s7/ova_body_c4_48.json	experiments/e149_final20_stoichiometry_v1/in_s3/ova_c4_iptm80_19f_c2.json
ova_c4_iptm80_19f_c3	OVA-C4-IPTM80-19F	4	final20_stoichiometry	3	ABC	386,386,386	1-386;1-386;1-386	0-0;0-0;0-0	pure OVA homooligomer competition	3	15	OVA-C4-IPTM80-19F forced C3; no templates; matched OVA MSA	experiments/e126_c4_iptm80_continue_af3_seed1/in_s7/ova_body_c4_48.json	experiments/e149_final20_stoichiometry_v1/in_s4/ova_c4_iptm80_19f_c3.json
ova_c4_iptm80_19f_c5	OVA-C4-IPTM80-19F	5	final20_stoichiometry	5	ABCDE	386,386,386,386,386	1-386;1-386;1-386;1-386;1-386	0-0;0-0;0-0;0-0;0-0	pure OVA homooligomer competition	3	15	OVA-C4-IPTM80-19F forced C5; no templates; matched OVA MSA	experiments/e126_c4_iptm80_continue_af3_seed1/in_s7/ova_body_c4_48.json	experiments/e149_final20_stoichiometry_v1/in_s5/ova_c4_iptm80_19f_c5.json
ova_c4_iptm80_19f_c6	OVA-C4-IPTM80-19F	7	final20_stoichiometry	6	ABCDEF	386,386,386,386,386,386	1-386;1-386;1-386;1-386;1-386;1-386	0-0;0-0;0-0;0-0;0-0;0-0	pure OVA homooligomer competition	3	15	OVA-C4-IPTM80-19F forced C6; no templates; matched OVA MSA	experiments/e126_c4_iptm80_continue_af3_seed1/in_s7/ova_body_c4_48.json	experiments/e149_final20_stoichiometry_v1/in_s7/ova_c4_iptm80_19f_c6.json
ova_c4_iptm80_21g_c1	OVA-C4-IPTM80-21G	3	final20_stoichiometry	1	A	386	1-386	0-0	pure OVA homooligomer competition	3	15	OVA-C4-IPTM80-21G forced C1; no templates; matched OVA MSA	experiments/e126_c4_iptm80_continue_af3_seed1/in_s0/ova_body_c4_105.json	experiments/e149_final20_stoichiometry_v1/in_s3/ova_c4_iptm80_21g_c1.json
ova_c4_iptm80_21g_c2	OVA-C4-IPTM80-21G	3	final20_stoichiometry	2	AB	386,386	1-386;1-386	0-0;0-0	pure OVA homooligomer competition	3	15	OVA-C4-IPTM80-21G forced C2; no templates; matched OVA MSA	experiments/e126_c4_iptm80_continue_af3_seed1/in_s0/ova_body_c4_105.json	experiments/e149_final20_stoichiometry_v1/in_s3/ova_c4_iptm80_21g_c2.json
